;ANO;CODUFMUN;POPULACAO
636;2019;521480;2210
637;2020;521480;2222
638;2021;521480;2236
639;2022;521480;2103
640;2019;521483;12869
641;2020;521483;12945
642;2021;521483;13020
643;2022;521483;13325
644;2019;521486;8164
645;2020;521486;8112
646;2021;521486;8063
647;2022;521486;8307
648;2019;521487;2929
649;2020;521487;2934
650;2021;521487;2939
651;2022;521487;3010
652;2019;521490;3264
653;2020;521490;3236
654;2021;521490;3208
655;2022;521490;3076
656;2019;521500;9853
657;2020;521500;10018
658;2021;521500;10193
659;2022;521500;9152
660;2019;521520;2913
661;2020;521520;2843
662;2021;521520;2775
663;2022;521520;3605
664;2019;521523;115711
665;2020;521523;117703
666;2021;521523;119649
667;2022;521523;97976
668;2019;521525;4495
669;2020;521525;4544
670;2021;521525;4592
671;2022;521525;3698
672;2019;521530;15615
673;2020;521530;15725
674;2021;521530;15834
675;2022;521530;16127
676;2019;521540;3759
677;2020;521540;3723
678;2021;521540;3679
679;2022;521540;4060
680;2019;521550;6667
681;2020;521550;6782
682;2021;521550;6895
683;2022;521550;7192
684;2019;521560;33835
685;2020;521560;34430
686;2021;521560;35011
687;2022;521560;34314
688;2019;521565;3464
689;2020;521565;3467
690;2021;521565;3470
691;2022;521565;3505
692;2019;521570;28858
693;2020;521570;29392
694;2021;521570;29915
695;2022;521570;32004
696;2019;521580;2381
697;2020;521580;2381
698;2021;521580;2382
699;2022;521580;2293
700;2019;521590;3585
701;2020;521590;3582
702;2021;521590;3578
703;2022;521590;3848
704;2019;521600;2615
705;2020;521600;2603
706;2021;521600;2590
707;2022;521600;2968
708;2019;521630;10057
709;2020;521630;10140
710;2021;521630;10221
711;2022;521630;9497
712;2019;521640;10988
713;2020;521640;10980
714;2021;521640;10988
715;2022;521640;10383
716;2019;521645;3129
717;2020;521645;3143
718;2021;521645;3156
719;2022;521645;3175
720;2019;521680;10281
721;2020;521680;10261
722;2021;521680;10240
723;2022;521680;8854
724;2019;521690;2253
725;2020;521690;2194
726;2021;521690;2135
727;2022;521690;2332
728;2019;521710;24524
729;2020;521710;24548
730;2021;521710;24543
731;2022;521710;23771
732;2019;521720;10385
733;2020;521720;10272
734;2021;521720;10161
735;2022;521720;11532
736;2019;521730;24908
737;2020;521730;25064
738;2021;521730;25218
739;2022;521730;26598
740;2019;521740;31458
741;2020;521740;31686
742;2021;521740;31909
743;2022;521740;33193
744;2019;521760;89918
745;2020;521760;90640
746;2021;521760;91345
747;2022;521760;108846
748;2019;521770;17819
749;2020;521770;17860
750;2021;521770;17899
751;2022;521770;18843
752;2019;521800;45394
753;2020;521800;45633
754;2021;521800;45866
755;2022;521800;44061
756;2019;521805;3881
757;2020;521805;3931
758;2021;521805;3979
759;2022;521805;4085
760;2019;521810;4011
761;2020;521810;4022
762;2021;521810;4032
763;2022;521810;3322
764;2019;521830;36900
765;2020;521830;37414
766;2021;521830;37924
767;2022;521830;34450
768;2019;521839;3223
769;2020;521839;3203
770;2021;521839;3211
771;2022;521839;3325
772;2019;521850;50065
773;2020;521850;50701
774;2021;521850;51323
775;2022;521850;50540
776;2019;521860;10918
777;2020;521860;10940
778;2021;521860;10961
779;2022;521860;12054
780;2019;521870;4801
781;2020;521870;4817
782;2021;521870;4832
783;2022;521870;3972
784;2019;521878;4493
785;2020;521878;4612
786;2021;521878;4728
787;2022;521878;3967
788;2019;521880;235647
789;2020;521880;241518
790;2021;521880;247259
791;2022;521880;214607
792;2019;521890;19882
793;2020;521890;19947
794;2021;521890;20012
795;2022;521890;19803
796;2019;521900;7637
797;2020;521900;7632
798;2021;521900;7630
799;2022;521900;8300
800;2019;521910;6560
801;2020;521910;6634
802;2021;521910;6701
803;2022;521910;6182
804;2019;521920;2855
805;2020;521920;2819
806;2021;521920;2782
807;2022;521920;3107
808;2019;521925;5459
809;2020;521925;5523
810;2021;521925;5585
811;2022;521925;4985
812;2019;521930;38648
813;2020;521930;38808
814;2021;521930;38962
815;2022;521930;37193
816;2019;521935;3809
817;2020;521935;3815
818;2021;521935;3821
819;2022;521935;3510
820;2019;521940;8756
821;2020;521940;8935
822;2021;521940;9110
823;2022;521940;7239
