ano,sigla_uf,id_municipio,populacao
2019,GO,5219456,3343
2020,GO,5219456,3355
2021,GO,5219456,3367
2019,GO,5219506,2319
2020,GO,5219506,2252
2021,GO,5219506,2200
2019,GO,5219605,3355
2020,GO,5219605,3280
2021,GO,5219605,3207
2019,GO,5219704,8744
2020,GO,5219704,8562
2021,GO,5219704,8386
2019,GO,5219712,4821
2020,GO,5219712,4854
2021,GO,5219712,4886
2019,GO,5219738,6283
2020,GO,5219738,6440
2021,GO,5219738,6593
2019,GO,5219753,74744
2020,GO,5219753,75829
2021,GO,5219753,76871
2019,GO,5219803,12949
2020,GO,5219803,13103
2021,GO,5219803,13305
2019,GO,5219902,6264
2020,GO,5219902,6267
2021,GO,5219902,6265
2019,GO,5220009,13740
2020,GO,5220009,14085
2021,GO,5220009,14423
2019,GO,5220058,1381
2020,GO,5220058,1345
2021,GO,5220058,1312
2019,GO,5220108,33817
2020,GO,5220108,34157
2021,GO,5220108,34488
2019,GO,5220157,5167
2020,GO,5220157,5215
2021,GO,5220157,5263
2019,GO,5220207,21993
2020,GO,5220207,21920
2021,GO,5220207,21849
2019,GO,5220264,4057
2020,GO,5220264,4082
2021,GO,5220264,4105
2019,GO,5220280,2036
2020,GO,5220280,2037
2021,GO,5220280,2040
2019,GO,5220405,20645
2020,GO,5220405,20985
2021,GO,5220405,21318
2019,GO,5220454,115371
2020,GO,5220454,118451
2021,GO,5220454,121447
2019,GO,5220504,8544
2020,GO,5220504,8642
2021,GO,5220504,8737
2019,GO,5220603,20695
2020,GO,5220603,20816
2021,GO,5220603,20938
2019,GO,5220686,6856
2020,GO,5220686,6879
2021,GO,5220686,6895
2019,GO,5220702,2989
2020,GO,5220702,3001
2021,GO,5220702,3040
2019,GO,5221007,3529
2020,GO,5221007,3521
2021,GO,5221007,3506
2019,GO,5221080,3458
2020,GO,5221080,3498
2021,GO,5221080,3538
2019,GO,5221197,8043
2020,GO,5221197,8186
2021,GO,5221197,8326
2019,GO,5221304,2833
2020,GO,5221304,2830
2021,GO,5221304,2830
2019,GO,5221403,127599
2020,GO,5221403,129823
2021,GO,5221403,132006
2019,GO,5221452,3500
2020,GO,5221452,3498
2021,GO,5221452,3497
2019,GO,5221502,4598
2020,GO,5221502,4564
2021,GO,5221502,4526
2019,GO,5221551,5281
2020,GO,5221551,5365
